Observation #,Code,Food name in English,Nom d’aliment en français,"Weight of ingredients (edible portion, raw) / Poids des ingrédients (parte comestible, cru) (g)",Yield factor / Factor de rendement,Method,Méthode
2,01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,Beenkida (Burkina Faso)*: bouillie de maïs avec grumaux de maïs,,0.8810975609756098,Mix some water with the flour to make lumps. Drop the lumps in hot water and cook for about 15 minutes while stirring. Add sugar.,Mélanger un peu d’eau avec la farine pour faire des morceaux. Ajouter les morceaux dans l’eau bouillante et laisser cuire environ 15 minutes tout en remuant. Ajouter du sucre.
,01_081,"Maize, white, refined flour (super), unfortified","Maïs, blanc, farine raffinée (super), non enrichie",120.0,,,
,13_002,"Sugar, white","Sucre, blanc",26.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
1,01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,Boalboal (Burkina Faso)*: boulettes de mil avec poisson frit et légumes,,0.6985573272589218,"Wet the millet flour to obtain a paste and make balls. Fry the fish. Remove the fish and fry the vegetables. Add the water, fish, salt, stock cube and tomato paste, and boil for 15 minutes. Add the balls of millet, then cook.","Mouillez la farine de mil pour obtenir une pâte et faire des boules. Faites frire le poisson. Retirer le poisson et faire frire les légumes. Ajouter l’eau, le poisson, le sel, le bouillon cube et le concentré de tomate, et laisser bouillir 15 minutes. Ajouter les boules de mil, puis laisser cuire."
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",241.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,2.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",91.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",23.0,,,
,12_019,"Water, tap",Eau du robinet,660.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",101.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",130.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",34.0,,,
2,01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,Boalboal (Burkina Faso)*: boulettes de mil avec poisson frit et légumes,,0.6716723549488055,"Wet the millet flour to obtain a paste and make balls. Fry the fish. Remove the fish and fry the vegetables. Add the water, fish, salt, stock cube and tomato paste, and boil for 15 minutes. Add the balls of millet, then cook.","Mouillez la farine de mil pour obtenir une pâte et faire des boules. Faites frire le poisson. Retirer le poisson et faire frire les légumes Ajouter l’eau, le poisson, le sel, le bouillon cube et le concentré de tomate, et laisser bouillir 15 minutes. Ajouter les boules de mil, puis laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",40.0,,,
,13_015,Salt,Sel,3.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",84.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",27.0,,,
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",250.0,,,
,12_019,"Water, tap",Eau du robinet,710.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",158.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",150.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",38.0,,,
1,01_160,Cantonese rice with fish and noodles (Burkina Faso)*,Riz cantonnais avec poisson et vermicelles (Burkina Faso)*,,0.6255650512972127,"Fry the fish and brown the vermicelli in the oil. Add the onions, carrot, tomato, tomato paste, chilli and crumbled fish. Fry everything for a few minutes. Add the water, then the rice, salt, stock cube and bay leaves and let everything cook.","Faire frire le poisson et faire brunir les vermicelles dans l’huile. Ajouter les oignons, les carottes, les tomates, le concentré de tomate, le piment et le poisson émietté.  Faire frire le tout pendant quelques minutes. Ajouter l’eau, puis le riz, le sel, le bouillon-cube et les feuilles de laurier et laisser cuire le tout."
,13_015,Salt,Sel,2.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",6.0,,,
,12_019,"Water, tap",Eau du robinet,481.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.171,,,
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",50.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",71.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",75.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",167.0,,,
,04_006,"Carrot, raw","Carotte, crue",34.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",68.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",8.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",103.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",68.0,,,
2,01_160,Cantonese rice with fish and noodles (Burkina Faso)*,Riz cantonnais avec poisson et vermicelles (Burkina Faso)*,,0.6091182596621153,"Fry the fish and brown the vermicelli in the oil. Add the onions, carrot, tomato, tomato paste, chilli and crumbled fish. Fry everything for a few minutes. Add the water, then the rice, salt, stock cube and bay leaves and let everything cook.","Faire frire le poisson et faire brunir les vermicelles dans l’huile. Ajouter les oignons, les carottes, les tomates, le concentré de tomate, le piment et le poisson émietté. Faire frire le tout pendant quelques minutes Ajouter l’eau, puis le riz, le sel, le bouillon cube et les feuilles de laurier et laisser cuire le tout."
,13_015,Salt,Sel,2.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,12_019,"Water, tap",Eau du robinet,520.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.25,,,
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",100.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",60.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",200.0,,,
,04_006,"Carrot, raw","Carotte, crue",22.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",50.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",43.0,,,
1,01_176,"Fura saamdin (Burkina Faso)*: fermented pearl millet porridge with milk, water and sugar","Fura saamdin (Burkina Faso)*: bouillie de mil à chandelle fermentée avec lait, eau et sucre",,0.9268929503916449,"Put the millet dough in a bowl. Add a little water, then gradually add the cow’s milk. Add the sugar and serve.","Mettre la pâte de mil dans un bol. Ajouter un peu d’eau puis, progressivement, le lait de vache. Ajouter le sucre et servir."
,01_097,"Millet dough (tchobal/fura), from decorticated millet only, cooked","Mil, pâte (tchobal/fura), pure, de mil décortiqué, cuite",141.0,,,
,13_002,"Sugar, white","Sucre, blanc",11.0,,,
,10_001,"Milk, cow, whole, pasteurized or UHT, 3.5% fat","Lait, de vache, entier, pasteurisé ou stérilisé UHT, 3.5% de mat. grasse",116.0,,,
,12_019,"Water, tap",Eau du robinet,115.0,,,
2,01_176,"Fura saamdin (Burkina Faso)*: fermented pearl millet porridge with milk, water and sugar","Fura saamdin (Burkina Faso)*: bouillie de mil à chandelle fermentée avec lait, eau et sucre",,0.982367758186398,"Put the millet dough in a bowl. Add a little water, then gradually add the cow’s milk. Add the sugar and serve.","Mettre la pâte de mil dans un bol. Ajouter un peu d’eau puis, progressivement, le lait de vache. Ajouter le sucre et servir."
,01_097,"Millet dough (tchobal/fura), from decorticated millet only, cooked","Mil, pâte (tchobal/fura), pure, de mil décortiqué, cuite",136.0,,,
,13_002,"Sugar, white","Sucre, blanc",23.0,,,
,10_001,"Milk, cow, whole, pasteurized or UHT, 3.5% fat","Lait, de vache, entier, pasteurisé ou stérilisé UHT, 3.5% de mat. grasse",125.0,,,
,12_019,"Water, tap",Eau du robinet,113.0,,,
1,01_174,Gappal (Burkina Faso)*: pearl millet porridge with milk and sugar,Gappal (Burkina Faso)*: bouillie de mil à chandelle avec lait et sucre,,0.8772563176895307,"Pour the millet flour, salt, sugar and water into the milk. Mix everything and let stand for a while.","Verser la farine de mil, le sel, le sucre et l’eau dans le lait. Mélanger le tout et laisser reposer quelques instants."
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",30.0,,,
,10_001,"Milk, cow, whole, pasteurized or UHT, 3.5% fat","Lait, de vache, entier, pasteurisé ou stérilisé UHT, 3.5% de mat. grasse",175.0,,,
,13_002,"Sugar, white","Sucre, blanc",20.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,50.0,,,
2,01_174,Gappal (Burkina Faso)*: pearl millet porridge with milk and sugar,Gappal (Burkina Faso)*: bouillie de mil à chandelle avec lait et sucre,,0.8941798941798942,"Pour the millet flour, salt, sugar and water into the milk. Mix everything and let stand for a while.","Verser la farine de mil, le sel, le sucre et l’eau dans le lait. Mélanger le tout et laisser reposer quelques instants."
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",50.0,,,
,10_001,"Milk, cow, whole, pasteurized or UHT, 3.5% fat","Lait, de vache, entier, pasteurisé ou stérilisé UHT, 3.5% de mat. grasse",200.0,,,
,13_002,"Sugar, white","Sucre, blanc",35.0,,,
,13_015,Salt,Sel,3.0,,,
,12_019,"Water, tap",Eau du robinet,90.0,,,
1,01_180,"Gnon (Burkina Faso)*: steamed balls of cowpea leaves with groundnut flour, potash and pearl millet","Gnon (Burkina Faso)*: boules de feuilles de niébé cuites à la vapeur, avec farine d’arachide, potasse et mil à chandelle",,0.3225806451612903,"Pound the previously washed cowpea leaves with potash and salt until a dough is obtained. In a separate bowl, combine the groundnut powder, millet flour and oil, then mix into the dough. Use the resulting mixture to make balls and steam them until cooked.","Piler les feuilles de niébé préalablement lavées avec la potasse et le sel, jusqu’à obtenir une pâte.  Dans un bol séparé, mélanger la poudre d’arachide, la farine de mil et l’huile, puis mélanger dans la pâte. Utiliser le mélange restant pour faire des boules et les cuire à la vapeur."
,13_015,Salt,Sel,2.0,,,
,01_063,"Pearl millet, flour (bran removed)","Mil à chandelle, farine (sans son)",70.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",82.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",20.0,,,
,13_024,"Potash, solid","Potasse, solide",3.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",20.0,,,
,12_019,"Water, tap",Eau du robinet,485.0,,,
2,01_180,"Gnon (Burkina Faso)*: steamed balls of cowpea leaves with groundnut flour, potash and pearl millet","Gnon (Burkina Faso)*: boules de feuilles de niébé cuites à la vapeur, avec farine d’arachide, potasse et mil à chandelle",,0.47527472527472525,"Pound the previously washed cowpea leaves with potash and salt until a dough is obtained. In a separate bowl, combine the groundnut powder, millet flour and oil, then mix into the dough. Use the resulting mixture to make balls and steam them until cooked.","Piler les feuilles de niébé préalablement lavées avec  la potasse et le sel, jusqu’à obtenir une pâte. Dans un bol séparé, mélanger la poudre d’arachide, la farine de mil et l’huile, puis mélanger dans la pâte. Utiliser le mélange restant pour faire des boules et les cuire à la vapeur."
,13_015,Salt,Sel,2.0,,,
,01_063,"Pearl millet, flour (bran removed)","Mil à chandelle, farine (sans son)",50.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",70.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",20.0,,,
,13_024,"Potash, solid","Potasse, solide",2.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",15.0,,,
,12_019,"Water, tap",Eau du robinet,205.0,,,
1,01_164,Jollof fonio (Burkina Faso)*: fonio with fish and vegetables,Fonio Jollof (Burkina Faso)*: fonio avec poisson et légumes,,0.7676537585421412,"Fry the fish, then remove and crumble. Slice the onions and fry for a few minutes. Add the other ingredients. Add the fonio and boil.","Faire frire le poisson, puis le retirer et l’émietter. Couper les oignons en rondelles et les faire frire quelques minutes. Ajouter les autres ingrédients. Ajouter le fonio et faire bouillir."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",15.0,,,
,13_015,Salt,Sel,3.0,,,
,12_019,"Water, tap",Eau du robinet,495.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,01_050,"Fonio, decorticated grains (bran removed), dry, raw","Fonio, grains décortiqués (sans son), sec, cru",150.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",40.0,,,
,04_006,"Carrot, raw","Carotte, crue",33.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",18.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",35.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",30.0,,,
2,01_164,Jollof fonio (Burkina Faso)*: fonio with fish and vegetables,Fonio Jollof (Burkina Faso)*: fonio avec poisson et légumes,,0.7449664429530202,"Fry the fish, then remove and crumble. Slice the onions and fry for a few minutes. Add the other ingredients. Add the fonio and boil.","Faire frire le poisson, puis le retirer et l’émietter. Couper les oignons en rondelles et les faire frire quelques minutes. Ajouter les autres ingrédients. Ajouter le fonio et faire bouillir"
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",10.0,,,
,13_015,Salt,Sel,3.0,,,
,12_019,"Water, tap",Eau du robinet,615.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,01_050,"Fonio, decorticated grains (bran removed), dry, raw","Fonio, grains décortiqués (sans son), sec, cru",174.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",55.0,,,
,04_006,"Carrot, raw","Carotte, crue",35.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",16.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",40.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",36.0,,,
1,01_156,Jollof macaroni (Burkina Faso)*: macaroni in tomato sauce with mutton,Macaroni Jollof (Burkina Faso)*: macaroni sauce tomate avec mouton,,0.5573760570378244,"Fry the onion, tomato, tomato paste, garlic, green pepper, pepper, parsley and meat, and cook for 5 minutes. Add the water, bay leaf, salt and stock cube, and cook for 10 minutes. Add the pasta and simmer until well cooked.","Faire revenir l’oignon, la tomate, le concentré de tomate, l’ail, le piment doux, le poivre, le persil et la viande, et laisser cuire cinq minutes. Ajouter l’eau, le laurier, le sel et le bouillon-cube, et laisser cuire 10 minutes. Ajouter les macaronis et laisser mijoter jusqu’à cuisson complète."
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",150.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,13_015,Salt,Sel,1.442,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",25.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",45.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",44.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",4.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",50.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.431,,,
,12_019,"Water, tap",Eau du robinet,595.0,,,
,13_014,"Pepper, black","Poivre, noir",0.57,,,
2,01_156,Jollof macaroni (Burkina Faso)*: macaroni in tomato sauce with mutton,Macaroni Jollof (Burkina Faso)*: macaroni sauce tomate avec mouton,,0.5702968844552839,"Fry the onion, tomato, tomato paste, garlic, green pepper, pepper, parsley and meat, and cook for 5 minutes. Add the water, bay leaf, salt and stock cube, and cook for 10 minutes. Add the pasta and simmer until well cooked.","Faire revenir l’oignon, la tomate, le concentré de tomate, l’ail, le piment doux, le poivre, le persil et la viande, et laisser cuire 5 minutes. Ajouter l’eau, le laurier, le sel et le bouillon-cube, et laisser cuire 10 minutes. Ajouter les macaronis et laisser mijoter jusqu’à cuisson complète."
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",150.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,13_015,Salt,Sel,1.75,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",50.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",45.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",40.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",4.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",50.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.244,,,
,12_019,"Water, tap",Eau du robinet,640.0,,,
,13_014,"Pepper, black","Poivre, noir",0.666,,,
3,01_156,Jollof macaroni (Burkina Faso)*: macaroni in tomato sauce with mutton,Macaroni Jollof (Burkina Faso)*: macaroni sauce tomate avec mouton,,0.5715306304697267,"Fry the onion, tomato, tomato paste, garlic, green pepper, pepper, parsley and meat, and cook for 5 minutes. Add the water, bay leaf, salt and stock cube, and cook for 10 minutes. Add the pasta and simmer until well cooked.","Faire revenir  l’oignon, la tomate, le concentré de tomate, l’ail, le piment doux, le poivre, le persil et la viande, et laisser cuire cinq minutes. Ajouter l’eau, le laurier, le sel et le bouillon-cube, et laisser cuire 10 minutes. Ajouter les macaronis et laisser mijoter jusqu’à cuisson complète."
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",150.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,13_015,Salt,Sel,3.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",25.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",45.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",40.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",3.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",50.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.31,,,
,12_019,"Water, tap",Eau du robinet,638.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
1,01_157,Jollof spaghetti (Burkina Faso)*: spaghetti in vegetable sauce,Spaghetti Jollof (Burkina Faso)*: spaghetti sauce légumes,,0.7314355814234361,"Fry the onion, tomato, tomato paste, garlic, green pepper, pepper and parsley, and cook for 5 minutes. Add the water, bay leaf, salt and stock cube, and cook for 10 minutes. Add the pasta and simmer until well cooked.","Faire revenir l’oignon, la tomate, le concentré de tomate, l’ail, le piment doux, le poivre, le persil  et laisser cuire cinq minutes. Ajouter l’eau, le laurier, le sel et le bouillon cube, et laisser cuire 10 minutes. Ajouter les spaghettis et laisser mijoter jusqu’à cuisson complète."
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",150.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,13_015,Salt,Sel,2.271,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",48.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",44.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",3.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.192,,,
,12_019,"Water, tap",Eau du robinet,360.0,,,
,13_014,"Pepper, black","Poivre, noir",0.444,,,
2,01_157,Jollof spaghetti (Burkina Faso)*: spaghetti in vegetable sauce,Spaghetti Jollof (Burkina Faso)*: spaghetti sauce légumes,,0.8021660058121577,"Fry the onion, tomato, tomato paste, garlic, green pepper, pepper and parsley, and cook for 5 minutes. Add the water, bay leaf, salt and stock cube, and cook for 10 minutes. Add the pasta and simmer until well cooked.","Faire revenir  l’oignon, la tomate, le concentré de tomate, l’ail, le piment doux, le poivre, le persil  et laisser cuire cinq minutes. Ajouter l’eau, le laurier, le sel et le bouillon cube, et laisser cuire 10 minutes. Ajouter les spaghettis et laisser mijoter jusqu’à cuisson complète."
,01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi",150.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,13_015,Salt,Sel,2.53,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",47.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
